titulo,local,data,status,texto
Carregador com defeito e demora no pós-venda do BYD Dolphin Mini,Águas Lindas de Goiás - GO,24/11/2025 às 14:13,Respondida,"Assunto: Reclamação  Falha no carregador e demora no pós-venda (BYD Dolphin Mini)Prezados,Há 3 meses comprei meu BYD Dolphin Mini na concessionária Saga BYD, em Brasília. O carro em si é excelente e não tenho nenhuma reclamação quanto ao veículo. Porém, estou extremamente insatisfeito com o atendimento pós-venda.O carregador que acompanha o carro apresentou defeito com apenas 3 meses de uso, mesmo tendo sido instalado corretamente, seguindo todas as orientações do manual. Procurei a concessionária e fui orientado a levar o equipamento até a Saga do Aeroporto para uma atualização. Cumpri a orientação, mas o carregador continuou sem funcionar.Foi então aberto um processo de garantia. No entanto, já se passaram mais de 10 dias e sigo aguardando uma vistoria, sem qualquer previsão de solução. Enquanto isso, preciso carregar meu veículo na rua, o que gera prejuízo financeiro, perda de tempo e transtorno, pois preciso me deslocar mais de 20 km para acessar um carregador rápido  não há opções próximas de onde moro.Também observei em fóruns e grupos de usuários que esse problema com o carregador é recorrente, e que a BYD já tem ciência disso. Diante disso, questiono: por que as concessionárias não possuem carregadores de substituição imediata para atender situações que já são de conhecimento da marca?Peço uma solução urgente. Não é razoável que um veículo recém-adquirido fique dependente de carregamento externo por tanto tempo devido à falta de suporte e agilidade no pós-venda.Aguardo retorno e providências.Atenciosamente,*****"
Atraso na entrega e falta de suporte na compra de BYD Dolphin Mini para PCD,Extrema - MG,24/11/2025 às 13:56,Em réplica,"No dia 09 de setembro de 2025 fiz o pedido de um BYD Dolphin mini, em nome de ***** (minha avó), portadora do CPF *****, na concessionária BYD Atibaia , com a vendedora Bárbara Vaz, é o primeiro carro da minha avó e ela é PCD. Enviei todos documentos dia 09/09/2025, a vendedora pediu no máximo 45 dias pra chegar o carro e mais 2 semanas pra entregar, prazo máximo, segundo ela chega bem antes disso. No dia 17/09/2025 eu chamei a vendedora perguntando se deu tudo certo se o pedido está em andamento, ela disse que iria verificar e me retornou um dia depois (depois de eu chamar ela novamente) , ela me enviou o pedido em PDF e pediu pra eu assinar, ou seja, o pedido não havia nem sido feito ainda, e já tinha se passado quase 10 dias.No dia 08/10/2025 eu perguntei qual status do pedido e ela respondeu um dia depois, pedindo um comprovante de endereço (não entendi o motivo pois se o carro já havia sido pedido teoricamente não deveria precisar de mais nada) No dia 23/10/2025 eu pedi uma posição , ela respondeu um dia depois dizendo que a fábrica está em atraso devido a mudança para Bahia e que vai atrasar um pouco mas o prazo máximo seria 16/11/2025, eu avisei que estaria no USA no mês de novembro e que voltaria em dezembro apenas e precisaria do carro já ter chego, ela me garantiu isso.Hoje é dia 24/11/2025 e até agora o carro não chegou, nem foi faturado e a vendedora não mandou nenhuma mensagem, desde que fiz o primeiro contato sempre sou eu quem chamo ela e ela demora responder (chamei dia 5 ela só respondeu dia 18 porque mandei mais uma mensagem).Estou muito insatisfeito com a BYD mesmo antes de ter o primeiro carro da marca. Ainda mais nessa situação sendo um carro para minha avó, uma senhora, que está super ansiosa para seu primeiro carro e o prazo já passou diversas vezes. O pior de tudo isso é não ter suporte da marca e uma assistência genuína. Alguém realmente interessado em te atender. Eu sou vendedor desde os meus 12 anos e o PÓS VENDA, importa 10 mil vezes mais do que a PRÉ VENDA."
Atraso na entrega do carregador portátil do veículo BYD Dolphin Mini,Salvador - BA,24/11/2025 às 13:47,Respondida,"Realizei a compra do meu carro byd dophin mini  na data 23/05/2025, sendo ofertado a compra com o carregador portátil, mas não estava o carregador não estava no momento que realizei a retirada do veículo, sendo prometido que a data prevista de chegada seria após 90 dias corridos, tendo previsão de chegada antes, após esse período passar e não obtive respostas, entrei em contato com a gerente e a mesma me deu novas datas e todas não foram cumpridas, entro em contato com os colaboradores da unidade e todos informam novas datas e nada do carregador chegar, peço que façam o envio do meu carregador com uma data prevista para ser cumprida! Estou passando por esse transtorno de sair do meu trabalho e ir pra unidade sempre perguntar sobre o produto e nada de receber!"
Atraso na emissão de fatura e entrega de veículo PCD (Pedido n *****),Bauru - SP,24/11/2025 às 12:18,Respondida,"Fiz o pedido do Song Pro GL para PCD no dia 25/10, com a promessa de faturamento em poucos dias. Hoje fazem 30 dias que fiz o pedido e a loja não tem previsão de quando será emitida a fatura e nota fiscal, muito menos quando esse carro será entregue.Solicito informações com urgência sobre o andamento do meu processo.Pedido n *****"
Impossibilidade de emplacamento por pendência da montadora e demora na entrega do veículo.,João Pessoa - PB,24/11/2025 às 12:03,Respondida,"Recebi o meu carro faz 3 dias e ainda não consegui dar entrada no emplacamento junto ao DETRAN. Consta a restrição montadora precisa dar entrada estoque. E minha vendedora fala que procurou reiteradas vezes a montadora e até agora não obteve retorno. Estou correndo risco de levar uma multa e ter meu carro guinchado. Exijo esclarecimentos. Esperei trinta dias para receber meu carro, prazo superior ao relatado pela vendedora no ato da compra, e quando recebo não posso emplacar por incompetência da montadora. Estou muito insatisfeito com o pós-venda! Tanto da loja como da montadora. A loja não faz nenhum esforço para agradar o cliente. Nem mesmo uma simples película foi ofertada como brinde. A montadora não cumpre o mínimo, que é resolver todas as pendências do carro antes de realizar a entrega do mesmo. Exijo solução URGENTE!"
Suspensão com barulho em Song Plus com baixa quilometragem e recusa de garantia pela BYD,São Paulo - SP,24/11/2025 às 11:42,Respondida,Comprei um Song Plus em 22-1-25. Meu carro tem menos de 4mil Km e a suspensão está fazendo NHEC NHEC diagnosticada na concessionária e eles dizem que a BYD decidiu não trocar mais em garantia por dizer que é uma característica do carro!!! Menos de 12 meses menos de 10mil km! Quero devolver e vou falar para todos que NÃO COMPREM! BYD querendo se isentar dos problemas. ABSURDO.
Atraso na entrega de peças para reparo após aprovação da seguradora BYD,Cachoeirinha - PE,24/11/2025 às 11:33,Em réplica,Houve uma batida e após aprovação na data de 21/09/2025 pela seguradora para compra das peças na concessionária BYD dágua vila Guilherme ainda estamos esperando pois o atendimento diz que as peças não chegaram
Atraso no emplacamento e problema com chave digital do BYD Dolphin Mini,João Pessoa - PB,24/11/2025 às 11:32,Em réplica,"Comprei um BYD DOLPHIN MINI NO MÊS DE OUTUBRO, O MESMO FOI FATURADO NO DIA 6 DE NOVEMBRO E O MESMO FOI ENTREGUE NO DIA 14 DE NOVEMBRO. MAS ATÉ O PRESENTE MOMENTO MEU CARRO NÃO FOI EMPLACADO E NÃO TENHO NENHUMA PREVISÃO. E OUTRA RECLAMAÇÃO É SOBRE A CHAVE DIGITAL QUE NÃO CONSTA NO APLICATIVO. ALGO QUE FOI FALADO QUE CONSTAVA NO MOMENTO DA VENDA"
Descumprimento Cupom de recarga e dificuldades no atendimento ao cliente pelos canais de atendimento,Brasília - DF,24/11/2025 às 10:38,Em réplica,"Bom dia, ao efetuar a compra do meu BYD DOLPHIN MINI em 30/7/25, eu e minha esposa ganhamos 1 ano de recarga grátis (R$ 1.500 em cupom) na promoção BYD Electric Days, mas já se passaram mais de 45 dias úteis e ao inserir o chassis no carro no app BYD Recharge recebo a mensagem de cupom inválido. Solicito verificação urgente. Os canais de atendimento não funcionam: o telefone indicado no site - ***** - não atende (uma mensagem informa que todos os atendentes estão ocupados, e em seguida desconecta), ninguém retorna ao meu e-mail enviado para ***** e o formulário no site https://www.byd.com/br/central-relacionamento dá o seguinte erro ao tentar enviar uma mensagem - Falha no envio, revise o texto em destaque -At,te."
Atraso na entrega do veículo Dolphin Mini PCD e falta de comunicação da concessionária,Embu das Artes - SP,24/11/2025 às 10:33,Não resolvido,"Comprei um do DOLPHIN Mini PCD em setembro. No dia 25 de setembro fiz a pagamento de $ 10.000 BRL de sinal. No dia 8 de outubro, fiz o pagamento do restante $ 92.990. A empresa emitiu uma nota fiscal no dia 25 de setembro. Me entregou no dia 25 de outubro, já vencida e desde então eu não tenho notícia do carro, ninguém me manda notícia. Não diz nada. Simplesmente paguei e não sei se vem. A nota fiscal já venceu. Já pedi até o cancelamento na concessionária viamar e até o momento não tenho notícia do carro. Obrigado."
Carregador veiculparou com 4 mese..,Maceió - AL,24/11/2025 às 09:44,Respondida,"Venho manifestar minha insatisfação com o atendimento referente ao carregador do meu veículo BYD, que apresentou defeito com apenas 4 meses de uso, mesmo estando dentro do prazo de garantia.Ao entrar em contato com o suporte, foi aberto um chamado com o prazo de 10 dias úteis para que um técnico comparecesse à minha residência. No entanto, o prazo foi totalmente descumprido, e até o momento nenhuma solução foi apresentada.Ressalto ainda que não foi disponibilizado nenhum carregador provisório, o que me obrigou a arcar com gastos extras de recarga para poder continuar utilizando o veículo. Esses custos só existem porque não recebi o suporte adequado enquanto o produto defeituoso, ainda na garantia, não é reparado ou substituído.Estou anexando 2 dos comprovantes de gastos com recarga realizados durante esse período sem assistência (tenho mais comprovantes, no entanto, devido ao limite de anexo, não consigo coloca-los aqui)."
BYD vende direto mas fico sem carro e sem data de entrega,Goiânia - GO,24/11/2025 às 09:30,Em réplica,"Olá.Comprei no dia 13/out/25 (nota fiscal em anexo) um BYD Song Pro GL na concessionária da Vitoria Motors (BYD Barao - BH), eh após mais de 1 mês de espera, a justificativa do atraso é que houve uma greve na fábrica da BYD na Bahia.A compra foi venda direta com a BYD como consta na NF já faturada a mais de 1 mês.Ocorre que o Song Pro está o pátio da BYD em Cariacica/ES.A transportadora que vai transportar o Song Pro é a Auport Transp e Logistica, que também é do Grupo Águia Branca, dona da Vitoria Motors, concessionária que vendeu o carro.Ou seja, o carro que comprei a mais de 1 mês está faturado e livre para ser transportado para a concessionária em Belo Horizonte e a transportadora é do mesmo grupo da concessionária.Porém, o total descaso e falta de compromisso com o cliente, além das mentiras me deixam sem nenhuma solução.A concessionária ainda alega que posso até procurar advogado, porque o carro que comprei vai demorar !!"
Sensor de pressão do pneu com defeito e alegação indevida para negar garantia em BYD Dolphin Mini,Recife - PE,23/11/2025 às 11:08,Resolvido,"Deixo aqui registrada esta reclamação por um problema tão pequeno, que ainda estou tentando acreditar que o meu carro está parado em uma concessionária durante um feriadão por isso.    Há aproximadamente três semanas surgiu um alerta de perda de sinal em um sensor de pressão no pneu DIANTEIRO DIREITO do meu BYD Dolphin Mini, durante uma aceleração por causa de uma preferencial. Mandei uma mensagem para o consultor técnico que conheço da concessionária da montadora em Taguatinga, DF, e fui instruído a calibrar o pneu para ver se o alerta desaparecia. Cheguei ao trabalho, deixei o carro estacionado, e quando retornei o alerta havia sumido.    Os pneus foram calibrados, alguns dias depois o alerta voltou, depois sumiu de novo, ficou intermitente por cerca de uma semana e meia até que eu consegui agendar uma visita na concessionária para a última terça-feira (18/11), e ao chegar na concessionária fui atendido por outro consultor. Me perguntou se o pneu já havia sofrido alguma avaria, respondi que não e que o carro só tem 10 meses de uso, questionou se houve algum impacto mais grave, o que também não ocorreu, e em seguida levou o carro para verificação, e informou que se o exame deles apontasse alguma falha provocada não haveria cobertura pela garantia. Fui chamado em alguns minutos com o consultor dizendo que o sensor havia sido resetado, e que eu poderia levar o carro para avaliar a solução.    O alarme retornou ainda no final daquela tarde e eu mandei uma mensagem para agendar novamente outro passeio em dia útil a concessionária na quinta-feira (20/08). Cheguei, repetiram as mesmas perguntas, respondi novamente que nada havia ocorrido com àquele pneu, que o pior que já me ocorreu com o carro foi um furo no pneu TRASEIRO DIREITO, que apenas ficou um pouco murcho (32 psi de pressão) e foi reparado em minutos, e me foi dado um prazo de QUATRO dias para trocar um sensor em um bico de roda. No dia seguinte, sábado, recebo uma ligação do consultor e mensagens com uma foto do reparo que estava no pneu traseiro, alegando que o pneu reparado seria o do sensor defeituoso, que havia agilizado o meu serviço, e que se eu pagasse R$ 500,00 poderia ir buscar o carro imediatamente (como se ninguém conhecesse essa estratégia de criar dificuldades para vender facilidades). Aí eu perguntei como o pneu traseiro tinha parado na roda dianteira, pedi fotos do tal sensor e o relatório do scanner, que obviamente é capaz de dizer qual roda estava em que posição, e quando as posições haviam mudado, afinal, a central identifica os sensores e é capaz de indicar qual roda está em cada posição. Ele me respondeu de forma meio evasiva, dizendo que o scanner apaga os registros quando faz as configurações, o que não tem lógica nenhuma, contestei, depois ficou de me mandar as fotos do sensor, não mandou, em seguida me disse que não estava na oficina naquele dia, que o mecânico havia montado tudo do jeito que estava e parou de me responder. Nada de foto, nada de relatório do scanner, o carro parado na concessionária durante dias e eu gastando com carro de aplicativo, nada do carro reserva prometido pela garantia da BYD, e nada de solução, a menos é claro que eu deixe na concessionária um quinhão de R$ 500,00 para arrumarem um sensor insignificante, que sequer deve custar US$ 5,00, se não custar centavos. Cheguei a ligar para o SAC da montadora pouco depois e fui informado que naquele sábado (22/11) os serviços não estariam funcionando, apenas os de emergência e pedido de assistência, mesmo com a URA dizendo que deveriam estar funcionando naquele horário.    Este é o 5 carro que compro, e já passei por algumas situações em oficinas, mas essa foi a primeira vez que ouvi falar nesta entidade do folclore brasileiro, os duendes borracheiros que trocam as rodas e os pneus dos carros de posição da noite para o dia sem ninguém pedir (e ainda são modernos, pois têm até os equipamentos para reconfigurar as centrais após o trabalho). A criação é digna de disputar com o saci pererê e a mula sem cabeça.    O carro até chegou a passar por alinhamento e balanceamento há cerca de dois meses, na mesma concessionária, e não há registro algum de que tenha sido feito rodízio nessas rodas, fato que até mesmo o consultor confessou não ser usual fora das revisões, que o relatório do scanner poderia confirmar ou negar, mas não foi enviado. O carro tem 10 meses e ainda não rodou 15.000 km, com tudo perfeito, sem nenhuma reclamação até 3 semanas atrás, mas aparentemente, na explicação da concessionária, um reparo NO PNEU TRASEIRO ocorrido HÁ MAIS DE UM MÊS é suficiente para oxidar e provocar uma pane em UM SENSOR NO DIANTEIRO, que a despeito de estar montado em um pneu automotivo, não pode entrar em contado com água, nem por telepatia. O carro novo e caro está trancado lá e eu em casa sem meio de transporte, sem resposta da oficina ou da montadora.    O que eu faço BYD? Creio que vocês sabem que até montadoras estreladas alemãs acabaram com má fama no Brasil pela péssima assistência. Imaginem vocês acabarem do mesmo jeito neste país, depois de tanto trabalho e investimento, por causa das concessionárias negando reparos insignificantes de forma esdrúxula e fazendo os clientes reféns???"
Atraso na entrega do carregador portátil prometido na compra do BYD Dolphin Mini,Brasília - DF,23/11/2025 às 11:00,Respondida,"Comprei um veículo BYD Dolphin Mini em fevereiro de 2025.A promoção de então era: SEMANA DO ELÉTRICO - Compre um automóvel e receba grátis dois carregadores (Wallbox e portátil).Após todo o trâmite da compra, no recebimento do veículo, havia apenas o wallbox. A conversa do vendedor é que estavam aguardando a importação dos carregadores portáteis para entrega e que o prazo seria de 45 dias.Para encurtar: Até hoje, 9 meses depois, não recebi o carregador portátil da BYD.A concessionária, VITÓRIA MOTORS - EV COMERCIO DE VEICULOS LTDA, aonde realizei a compra, depois da entrega do veículo, simplesmente tira o corpo fora e empurra tudo para a BYD Brasil.Quando Receberei o meu carregador portátil?????"
BYD Song Plus com falhas graves e retenção prolongada na concessionária sem solução,Rio de Janeiro - RJ,23/11/2025 às 09:02,Respondida,"Prezados,Registro, por meio desta, minha profunda preocupação, indignação e insatisfação diante da situação extremamente grave envolvendo meu BYD Song Plus, que permanece há quase 30 dias retido na concessionária, sem solução efetiva, sem transparência adequada e sem qualquer garantia concreta de segurança. A última informação recebida foi em 12 de novembro/25 foi reportado que havia sido descoberto o problema que ocasionou o defeito do veículo, e que havia sido solicitado a peça para a troca na garantia, sem maiores explicações o carro foi transferido para o pátio.Fatos: No dia 28 de outubro, durante o uso regular do veículo, ocorreu um fato de extrema gravidade: estando o mesmo estacionado, ao tentar deixar o trabalho a roda traseira direita estava totalmente travada, impossibilitando a condução. O veículo precisou ser rebocado pela BYD Assistance. Após dois dias na concessionária, foi devolvido sem que houvesse uma explicação clara sobre o ocorrido.Contudo, ao dirigir para minha residência, o carro voltou a apresentar falhas sérias e assustadoras: luzes de alerta no painel piscaram repetidamente, incluindo avisos de freio, estabilidade e falha no sistema de frenagem. Trata-se de sinais que indicam risco real e iminente ao condutor, evidenciando que o problema não havia sido solucionado.Além disso, quando o veículo foi devolvido, dois dias após sua primeira entrada, o mesmo foi entregue sujo e sem carga elétrica. Além disso, quando reportamos o problema á Concessionária da Nações Unidas, eles não quiseram atender de imediato pois não estávamos agendados..como se soubéssemos que o veículo teria problema..Diante disso, o veículo retornou à concessionária, onde permanece há quase um mês, sem que eu tenha recebido informações completas sobre o problema, transparentes ou minimamente satisfatórias. Fui comunicada apenas de que existe um problema em uma peça não identificada, cuja substituição depende de aprovação da fábrica e que o prazo estimado seria de 10 dias úteis  prazo este que já se encontra em andamento, sem previsão objetiva de conclusão.Ressalto ainda minha preocupação pelo fato de não terem sido informadas ocorrências semelhantes em outros veículos da marca. Considerando que a BYD é uma fabricante com pouco tempo de operação no Brasil e que o veículo é importado da China, é natural questionar se há limitações técnicas, falta de capacitação ou desconhecimento por parte das equipes locais quanto a problemas específicos deste modelo. Esta ausência de domínio técnico, se confirmada, agrava de forma significativa o cenário e reforça minha preocupação quanto à segurança e confiabilidade do produto adquirido.É inadmissível que um veículo novo, de uma marca que se apresenta como referência em tecnologia, apresente falhas tão graves, repetidas e potencialmente perigosas, sem que haja comunicação clara, sem que a causa seja plenamente identificada e sem que seja oferecida uma solução célere e definitiva. Além dos riscos enfrentados, estou sendo submetida a prejuízos, transtornos e desgaste emocional, incompatíveis com o padrão esperado de uma empresa deste porte e do valor do veículo. Foi oferecido pela BYD um veículo, não equivalente ao meu, por 7 dias e ao descobrirem que o veículo iria ficar por mais tempo na concessionária não foi renovado a extensão deste benefício, sendo gerado assim mais gastos de minha parte.Diante da gravidade dos fatos, aguardo uma manifestação urgente e formal, esclarecendo:A causa exata do problema apresentado;A peça envolvida, sua função e o motivo de sua falha;A previsão real e documentada para a conclusão do reparo;A existência  ou não  de outros casos semelhantes reportados pela rede;As medidas que a BYD adotará para compensar os prejuízos, os riscos e o tempo de indisponibilidade do veículo.Reforço que a situação demanda imediata atenção, seriedade e responsabilidade, visto que envolve não apenas o bom funcionamento do produto, mas principalmente a segurança do consumidor, garantida por lei. E atenção, houve apenas um (1) contato da BYD Assistance ou ouvidoria, ligamos e pedimos ajuda e somente retornaram uma única vez (Absurdo a pós venda).Aguardo retorno.Atenciosamente,*****"
Problemas no faturamento e emissão de NF de chassi inexistente do BYD Dolphin Mini,São Luís - MA,23/11/2025 às 08:16,Respondida,"Em setembro começamos a tratativa da aquisição de byd dolphin mini na byd original São Luís. Depois de algum tempo, a loja disponibilizou um chassi para faturamento. Após duas tentativas de pagamento por parte do banco, fomos informados que o chassi não ""existe"". Fomos até a concessionária e não tivemos um prazo e nem resolução do caso. A NF já está emitida de um chassi que não existe na BIN."
Atraso na entrega de veículo BYD comprado por CNPJ e falta de informações,Montes Claros - MG,22/11/2025 às 21:57,Respondida,"Fiz pedido por venda direta para CNPJ (*****) em 17.10.2025, sendo emitido a nota fiscal em 23.10.2025. No ato informaram prazo médio de 15 dias pea chegar o veiculo, achei estranho emitir a nota fiscal de imediato faltando esse tempo todo para receber o veiculo. Queria dar valor de entrada e pagar o restante quando receber o veiculo, disseram não ser possível, e já emitiram o boleto com valor total do veiculo vencendo dia 07.11.2025. Na semana de vencimento do boleto, ao ser cobrado ppr uma posição a respeito da entrega do veículo, o vendedor informou que estavam dando prioridade para os veiculo la já pago. Então fiz o pagamento no dia 06.11.25. Hoje 22.11.2025, não temos nem posição a respeito do veiculo, vendedor mostrou resposta da BYD informando diversos problemas, porém uma resposta genérica. Agora estamos com o valor pago, dinheiro que estaria rendendo juros na aplicação, porém estamos ainda sem veiculo, e sem previsão. Como a montadora emiti uma nota fiscal com 1 mês de antecedência, recebe o valor, e não tem nem posição de entrega? Pra piorar fizeram uma promoção no mesmo modelo do veiculo, abaixando o valor em cerca de 2mil. Como passar credibilidade agindo dessa forma? Me faz parecer uma empresa com dificuldades financeiras que esta enrolando seus clientes."
Barulho ao frear e fazer curva no BYD King persiste após revisão e troca de amortecedores,Balneário Camboriú - SC,22/11/2025 às 21:23,Respondida,"Estou com grave problema quando aciono o freio de meu BYD KING, acionando o freio e fazendo curva ele faz um barulho tipo (tec tec tec) problema ocorre quando aciono o freio fazendo curva para ambos os lados, exemplo chegando para virar uma esquina!! Levei na concessionária DVA de Itajaí para fazer a revisão dos 12.000km mencionei o defeito e fui informado que o barulho era NORMAL (inacreditável) voltei novamente para solucionar e fui informado que o problema eram os amortecedores, esperei mais de 30 dias a chegada dos mesmos, após a troca o barulho persiste e ainda está aumentando a cada dia!! Irei levar na data de 24/11/2025 na DVA de Brusque para efetuar a revisão dos 24.000km, vou informar de todo o caso e torcer para que enfim resolvam o problema!!"
